Listing ID,Listing Name,Host ID,Host Name,Host Since,Host Response Time,Host Response Rate,Is Superhost,neighbourhood,Neighborhood Group,City,Postal Code,Country Code,Country,Latitude,Longitude,Is Exact Location,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Square Feet,Guests Included,Min Nights,Reviews,First Review,Last Review,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready,Price
16076153.0,*,17501327.0,Joha,2014-07-13,,,f,Britz,Neuk̦lln,Berlin,12347.0,DE,Germany,52.46986,13.42846,f,Apartment,Private room,1,1.0,1.0,1.0,,1,*,5,2017-08-10,2017-11-07,98.0,10.0,10.0,10.0,10.0,8.0,10.0,f,f,24.0
10012660.0,*,7422296.0,Syesf,2013-06-18,,,f,Rummelsburg,Lichtenberg,Berlin,10317.0,DE,Germany,52.50575,13.50663,t,Apartment,Private room,4,1.0,1.0,2.0,,2,3,7,2016-02-19,2017-02-07,93.0,9.0,10.0,9.0,9.0,10.0,9.0,f,f,22.0
10118758.0,*,9051368.0,Paulin,2013-10-06,,,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10999.0,DE,Germany,52.49611,13.423979999999998,t,Apartment,Private room,4,1.0,2.0,3.0,,1,3,9,2016-07-07,2018-05-15,100.0,10.0,9.0,9.0,10.0,9.0,9.0,f,f,37.0
28032455.0,*,83340837.0,Denningo,2016-07-13,,,f,Moabit,Mitte,Berlin,10553.0,DE,Germany,52.53104000000001,13.326,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,1,3,2,2018-12-05,2018-11-02,100.0,10.0,10.0,9.0,10.0,10.0,10.0,t,f,55.0
7889965.0,*,38115409.0,Jike,2015-07-31,a few days or more,20%,f,Neuk̦lln,Neuk̦lln,Berlin,12047.0,DE,Germany,52.49210999999999,13.433070000000004,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,1,3,21,2015-03-14,2019-04-18,88.0,10.0,10.0,9.0,9.0,9.0,9.0,f,f,55.0
25207355.0,*,102163111.0,Wagi,2017-02-03,within a few hours,100%,f,Rudow,Neuk̦lln,Berlin,*,DE,Germany,52.421490000000006,13.48426,f,Apartment,Private room,2,1.0,1.0,1.0,,1,2,1,2018-05-19,2018-05-01,80.0,8.0,8.0,10.0,10.0,10.0,8.0,t,f,29.0
14450288.0,*,26600921.0,Anna,2015-02-01,within a few hours,100%,t,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10247.0,DE,Germany,52.51988000000001,13.456220000000002,t,Apartment,Private room,2,1.0,1.0,1.0,,1,2,28,2016-10-03,2019-04-23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,32.0
20532753.0,*,29786393.0,Joa,2015-03-27,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10247.0,DE,Germany,52.51874,13.47344,f,House,Private room,2,1.0,1.0,1.0,,1,2,1,2017-09-09,2017-12-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,25.0
31816356.0,*,19533986.0,Char,2014-08-16,within an hour,100%,f,Moabit,Mitte,Berlin,10559.0,DE,Germany,52.52856,13.35184,t,Apartment,Private room,4,1.0,1.0,2.0,,1,6,1,2019-02-05,2019-04-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,49.0
15092534.0,*,90742577.0,Ketje,2016-08-26,within an hour,100%,f,Mitte,Mitte,Berlin,10117,DE,Germany,52.506440000000005,13.386779999999998,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,,1,3,53,2016-10-13,2019-04-26,89.0,9.0,9.0,10.0,10.0,10.0,8.0,t,f,99.0
21306946.0,*,58944528.0,Andon,2016-02-19,within a day,50%,f,Mitte,Mitte,Berlin,10115.0,DE,Germany,52.535540000000005,13.3921,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,1,2,5,2017-09-01,2019-03-09,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,50.0
23982847.0,*,161140060.0,Enta,2017-09-29,,,f,Wedding,Mitte,Berlin,13359,DE,Germany,52.56418000000001,13.38601,t,Apartment,Private room,2,1.0,1.0,1.0,,1,1,0,,,,,,,,,,t,f,23.0
13022371.0,*,98341054.0,Ulsile,2016-08-25,,,f,Wedding,Mitte,Berlin,13357.0,DE,Germany,52.55503,13.37288,t,Apartment,Private room,2,1.0,1.0,1.0,,1,*,6,2016-08-31,2016-02-18,80.0,10.0,7.0,10.0,10.0,10.0,10.0,f,f,24.0
5600349.0,*,190795.0,Rhansttan,2011-05-17,within a few hours,100%,f,Mitte,Mitte,Berlin,10115.0,DE,Germany,52.53251999999999,13.39711,f,Serviced apartment,Entire home/apt,2,1.0,0.0,2.0,,1,60,104,2016-04-21,2019-05-13,99.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,69.0
6682833.0,*,27585654.0,Wulm,2015-02-16,,,f,Wilmersdorf,Charlottenburg-Wilm.,Berlin,10715.0,DE,Germany,52.48387,13.3291,t,Apartment,Private room,4,1.0,1.0,1.0,,1,1,0,,,,,,,,,,f,f,80.0
33531431.0,*,5691959.0,Kavin,2013-05-08,a few days or more,0%,f,Mitte,Mitte,Berlin,10179,DE,Germany,52.50274,13.419129999999996,t,Apartment,Private room,2,1.0,1.0,1.0,,2,3,0,,,,,,,,,,f,f,91.0
15597629.0,*,82642052.0,Lina,2016-07-01,within an hour,100%,f,Tempelhof,Tempelhof - Sch̦neberg,Berlin,10823.0,DE,Germany,52.4882,13.35133,t,Apartment,Private room,2,1.0,1.0,1.0,,1,3,9,2016-07-09,2016-12-15,96.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,30.0
5793721.0,*,36341319.0,Matalle,2015-01-27,within a day,80%,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10965.0,DE,Germany,52.4863,13.412570000000002,t,Apartment,Private room,2,2.0,1.0,1.0,,1,3,15,2015-09-05,2019-03-12,98.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,26.0
663657.0,*,3681973.0,Farkin,2012-09-22,,,f,Wedding,Mitte,Berlin,13357,DE,Germany,52.55019,13.37964,f,Apartment,Private room,2,1.0,1.0,1.0,0.0,1,2,22,2013-09-03,2016-01-02,98.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,50.0
20846899.0,*,27552056.0,Apars,2015-02-28,,,f,Prenzlauer Berg,Pankow,Berlin,10437.0,DE,Germany,52.5454,13.427,t,Apartment,Entire home/apt,3,2.0,1.0,2.0,,1,2,5,2017-09-10,2017-12-12,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,45.0
32228058.0,*,177852513.0,Bobbin,2018-03-09,within an hour,100%,f,Rummelsburg,Lichtenberg,Berlin,10315.0,DE,Germany,52.50392,13.50121,f,Apartment,Entire home/apt,6,1.0,2.0,2.0,,1,1,4,2019-03-30,2019-02-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,65.0
29511064.0,*,22946450.0,Monika,2014-09-02,,,t,Moabit,Mitte,Berlin,10553.0,DE,Germany,52.53242,13.32613,t,Apartment,Entire home/apt,4,1.5,2.0,3.0,,1,3,4,2018-10-03,2018-11-27,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,50.0
12959245.0,*,65950096.0,Refitca &ohamanar,2013-01-16,within a day,100%,f,Moabit,Mitte,Berlin,10559.0,DE,Germany,52.52938000000001,13.34583,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,2,6,58,2016-05-20,2019-04-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,105.0
32860399.0,*,106749552.0,Carolina,2016-11-25,within a few hours,100%,f,Reinickendorf,Reinickendorf,Berlin,*,DE,Germany,52.59962,13.33191,t,Apartment,Private room,2,1.0,1.0,1.0,,1,60,0,,,,,,,,,,f,f,35.0
9568936.0,*,6134423.0,Marek,2013-02-12,,,f,Neuk̦lln,Neuk̦lln,Berlin,12053.0,DE,Germany,52.47251999999999,13.42934,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,,1,2,2,2016-02-17,2016-02-23,100.0,9.0,10.0,10.0,10.0,10.0,10.0,f,f,93.0
20371357.0,*,143233440.0,Kristen,2017-08-14,within a few hours,100%,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10965.0,DE,Germany,52.49264000000001,13.39851,t,Apartment,Private room,2,2.5,1.0,2.0,,1,2,19,2017-08-04,2017-09-19,89.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,32.0
14921145.0,*,12117693.0,Balix,2014-03-06,within a day,100%,f,Tempelhof,Tempelhof - Sch̦neberg,Berlin,12099.0,DE,Germany,52.46776,13.389879999999998,f,Apartment,Entire home/apt,4,1.0,1.0,3.0,,1,7,13,2017-07-07,2019-01-16,88.0,9.0,9.0,9.0,9.0,8.0,9.0,f,f,30.0
24216620.0,*,62379109.0,Saman,2016-03-16,within an hour,100%,f,Friedrichsfelde,Lichtenberg,Berlin,10315.0,DE,Germany,52.512130000000006,13.50491,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,,1,1,1,2018-07-23,2019-02-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,35.0
20578492.0,*,140879927.0,Ho,2017-07-16,,,f,Rummelsburg,Lichtenberg,Berlin,10317.0,DE,Germany,52.50486,13.49318,t,Apartment,Private room,2,1.0,1.0,1.0,,1,5,0,,,,,,,,,,t,f,35.0
